RegistrationNo,CompanyName,BuildingNumber,StreetName,TownName,CountrySubDivision,PostCode,Country
969500XN10BAXFIC0N79,SQUARE 6 CAPITAL,,"6, Square Desaix",PARIS,,75015,FR
969500Y639V2VXU7YE05,THE LYNX CAPITAL INVESTMENTS,,"2, Rue Parrot",PARIS,,75012,FR
9695004N1NC175UV2839,ARTI,ZA,"3, Rue de la Poterie",PRIX-LES-MEZIERES,,08000,FR
9695003DJ11H8AB2Z694,SELARL DE MR LAFORET CEDRIC,,"6, Rue Charloun Rieu",AIX-EN-PROVENCE,,13100,FR
969500GFHA8RTR5UQB08,DEMAIN,,"8B, Chemin du Cellier",NANTES,,44300,FR
969500HRN8TFWAEC1F08,NOVA SOURCES,,"17, Rue Paul Pouchain",ARMENTIERES,,59280,FR
969500YUDRCM9GSWNE18,CAC SERVICES,Cite Jardins,"7, Rue du Docteur Alphonse Laveran",EVRY-COURCOURONNES,,91000,FR
969500TBT2Q0ZF2KVJ86,CARPINUS,,"41, Rue Henri Jullin",NANTES,,44300,FR
9845009F1A9B511C3883,PRESTIGE SECURITE,,"40, Rue Alexandre Dumas",PARIS,FR-75C,75011,FR
984500CC394F109E6E44,IPLACE,CHAMPS ELYSEES,"66, Avenue des Champs-Élysées",PARIS,FR-75C,75008,FR
89450007DYP2ODDAWM43,SASU CHEVALLIER CONSEIL STRATEGIE,,"1, Rue Jean Alcazar",MARSEILLE,,13008,FR
8945000B8QQTKDK39N85,PALOUMAX,LA FOULERIE,,TOUROUVRE AU PERCHE,,61190,FR
984500A13D2G876EK696,CALAUGAR,,"5, Rue du Colonel Bourgoin",VANNES,,56000,FR
8945001HKVFE6SD37A23,ARNAUD,1 RTE RD 70,,GARIDECH,,31380,FR
8945001HFBVMJT17JQ39,EJL INVEST,,"24, Rue Beaubourg",PARIS,,75003,FR
8945001H9SBUWTPBW659,TECTUM,RUE GEORGES CLEMENCEAU 18,,Versailles,,78000,FR
8945001OCRL69YVRZQ37,DESPREZ ET CIE,,"3, Rue Florimond Desprez",CAPPELLE-EN-PEVELE,,59242,FR
969500Z79QFKTQ0ZWR03,FOUINEAU FINANCES,,"4, Rue de Rome",PARIS,,75008,FR
969500M0EPY4E4JC6H33,KALMI INVEST,,"61, Rue de Lyon",PARIS,,75012,FR
9695005VBI9CIRXVNZ79,JYM ENERGIE,FOULARDAIS,,LANDUJAN,,35360,FR
969500HNNCQN5WQ2SO33,LV CONSEIL,,"2, Rue des Dardanelles",PARIS,,75017,FR
9695008JHIXNTJFJ3S41,SCI AREL,,"22, Place Bellecour",LYON,,69002,FR
9695006FM5XJD8370G85,DAVY LANGE PARTICIPATION,MOLIERE,"17, Rue Molière",PRIVAS,,07000,FR
969500MBIOEZABSN0S51,BLUE NET INNOVATION,,"7, Rue Charles Friedel",PARIS,,75020,FR
969500576PQHRIPHXP86,PIECES MAIN D'OEUVRE ET COMPAGNIE,L'ECOLE,"16, Rue de l'École Polytechnique",PARIS,,75005,FR
969500ZJQT8TFOGWK204,KAYA,"31 RES PARC CLUB DU GOLF, CS 90519",,AIX EN PROVENCE,,13080,FR
9695009PA2DSS79AW633,LESPARRAINS,DES VIOLETTES,"16, Chemin de la Violette",NANTES,,44000,FR
969500C3UQTJKFYB4H07,HBY,,"21, Rue Jean Rostand",ORSAY,,91400,FR
969500VWOGRJMUEU4646,S.B.M DEVELOPPEMENT,"RUE DE RIS, ZONE INDUSTRIELLE DES NOUES DE SEINE",,VIRY-CHATILLON,,91170,FR
969500J3X2EOLRXFM294,SAS LEURS MERCHEZ,2065 ROUTE DU BEAUFORT,,MERCKEGHEM,,59470,FR
969500BU4ZSDDI50LW13,SARL GIBOUTET FRERES,45B,"45, Route de Moret",MONTCOURT-FROMONVILLE,,77140,FR
96950004OMKJ6U73BI52,LELEHOLDING,,"103, Rue de Grenelle",PARIS,,75007,FR
969500D6KC7UGMD6UA90,INGLES1,,"7, Rue du Canigou",MONTESCOT,,66200,FR
969500NLBUIWNNYUPE82,AGIL,FLEAU,"17, Rue du Fléau",SAINT-HILARION,,78125,FR
969500PKR1MS43SFEN06,CRETOIS INVEST,19 RESIDENCE DES ROCHETTES,,MARTIGNE-SUR-MAYENNE,,53470,FR
969500XHOZGK7VIAM044,LE HARD TOP POLYESTER STEPHANOIS,,"2, Rue Vacher",SAINT-ETIENNE,,42000,FR
969500GO9HG1RZYGOX51,HOLDING ELOY JC,,"18, Rue Bourgelat",LYON,,69002,FR
969500KGKVIIE6ON9X93,BRETON,SAINT ANTOINE AILLANT,"25, Grande Rue Saint-Antoine",MONTHOLON,,89110,FR
96950047QLY9VZOPMC40,SOLARPOOL 2001,,"1, Impasse de Lisieux",TOULOUSE,,31100,FR
969500SV8DF3TZ3OL906,SOLARLOOP,,"1, Impasse de Lisieux",TOULOUSE,,31300,FR
9695002MY9K47VS66K16,OTIUM,,"24, Impasse du Glaoudis",GRAZAC,,31190,FR
969500Q4XV016DMRB055,BYM,,"5, Avenue de l'Orme Fourchu",AVIGNON,,84000,FR
9695008RCGVSGD4OTM91,SAS VF,ZA,Zone d'activité Zone Artisanale,CREUTZWALD,,57150,FR
969500A2Q0SU9MNYB961,PARIS VICTOIRES 4,,"42, Rue Washington",PARIS,,75008,FR
969500JXUGFIKPJJYZ58,CATY,11 CLOS DE LA LANDE,,PLESCOP,,56890,FR
9695003VJPQU6H8BDD84,HOLDING DANI ALU,LDT CLAP LOUP,,MARCY L'ETOILE,,69280,FR
9695003UKW2AJF3I4B22,SCI DES DEUX POMMES,"10 RUE DES FRENES, PARC D'ACTIVITES CLAPE LOUP",,SAINTE-CONSORCE,,69280,FR
969500J56VJ2WN1JTP38,LA PASSERELLE,REPUBLIQUE,"16, Rue de la République",LYON,,69002,FR
9695003Z6SYLKUNXBB82,MAILLE VERTE VOSGIENNE,FALLIERES,"305, Route de Fallières",SAINT-NABORD,,88200,FR
969500RMUKG2L8EDRP02,SIGMA POLAXIS B,30B SAINTE HELENE,"30 B, Rue Sainte-Hélène",LYON 2EME,,69002,FR
969500856YKNA9J4RJ66,AGRIMONTBIGAZ,LD MAULNY,,MONTBIZOT,,72380,FR
969500J28SA2PRHUWZ92,SOCIETE DU PARC EOLIEN DE LA GONDONNERIE,COEUR,"78, Avenue Jacques Cœur",POITIERS,,86000,FR
969500L2PI7Q3P0I5996,CHANTECLER,,"35, Chemin du Devorah",BOURG-EN-BRESSE,,01000,FR
9695004COIR4SYSSOV05,BUSITCHKINS,,"77, Rue de Turbigo",PARIS,,75003,FR
96950077F02TB8BMHU67,LTK PATRIMOINE,BOETIE,"116, Rue La Boétie",PARIS,,75008,FR
969500Q8PKLV2H6S1P23,DU BAILE,790 LA,Chemin de Cardeline,CHATEAUNEUF-LE-ROUGE,,13790,FR
969500ARWJP8Z06J8K47,IQ INVEST,,"14, Route del Faoure",MARCILLAC-LA-CROISILLE,,19320,FR
96950034RQNFCIUP2Y02,SCP 2 B INVESTISSEMENT ET MANAGEMENT,3 RUE STEPHANE SCHOONAERT,,HOLQUE,,59143,FR
96950011OXQZZJBOZ010,ETABLISSEMENT BENOIT LE MAITRE,,"120, Route de l'Estrangle",SAINT-VIGOR-D'YMONVILLE,,76430,FR
969500W0PG28L2DIN080,UNIMA COMMERCES SNC,,"4, Rue Lamennais",PARIS,,75008,FR
969500JMZF1JAPCI1S69,SELARL RESONANCE V NORD,"3 AV DU GAL SALAN, SCE IMAGERIE MEDICALE",,MARIGNANE,,13700,FR
969500AWSY4ANYSHHM72,UNIMA,,"4, Rue Lamennais",PARIS,,75008,FR
969500B3A01Z4POMXL69,MEMENTO DISTRIBUTION,CITE,"9, Cité Paradis",PARIS,,75010,FR
96950045M2KJP8X5EY35,CO.FA.PI,"150 RUE, ZAC DE LA FERME","850, Route des Sables",BREUIL-LE-SEC,,60840,FR
969500DRN22ZDSU3UV88,SFA INDUSTRIE,AV JACQUES CARTIER,"18, Avenue Jacques-Cartier",ST-HERBLAIN,,44800,FR
969500CT89YM5TNURH41,50 CE,,"87, Boulevard Haussmann",PARIS,,75008,FR
969500QL4PXADE76UI71,MARCOTI 3,7,Rue Pasteur,TASSIN-LA-DEMI-LUNE,,69160,FR
9695004MQRHSG38LM336,CABINET DU DOCTEUR DALIGAULT,,"24, Avenue Charles Boulanger",PERONNE,,80200,FR
969500517V5TV0O8TH77,INAARI,,"106, Rue Principale",BELLEFOSSE,,67130,FR
969500GAL2VX9ZFNMT23,ARMOUS ET VDSL,HAM DE BARROTES,,ARMOUS-ET-CAU,,32230,FR
969500R63XM0E2GRK313,HYDRANGEA,D AUTEUIL,"9, Rue d'Auteuil",PLOERMEL,,56800,FR
969500U8TMFKCPTB8892,SILVERSUN DGS 1,"20B RUE RENE DUMONT, ZA LA BERTOIRE 2",,LAMBESC,,13410,FR
969500DJQBCSE5JWMI11,SUROIT,,"17, Rue de la Peupleraie",SAINT-GREGOIRE,,35760,FR
969500ZGDHGGH7R3EM73,HN INVESTISSEMENT,ANDRE,"37, Boulevard André Netwiller",TOULOUSE,,31200,FR
969500TQ4R5YJPMOKU25,SCP RUE EMILE ZOLA,,"62, Rue d'Alsace",CLICHY,,92110,FR
969500XYTFS99SYVKH43,DSA,,"535, Route de Villefranche",ANSE,,69480,FR
969500DISI5EUAFG7784,J.C.G,,"80, Route de Kerdostin",SAINT-URBAIN,,29800,FR
9695008HAMBCSJEETP04,LOUZO,,"5, Chemin sous la Garde",MONTPEYROUX,,63114,FR
969500SHSTG2OD3HSC31,PICAPALM,,"10, Rue Falkenhauer",STRASBOURG,,67100,FR
969500ZT4VM7FBD90M54,BOREAL TOPCO,KLEBER,"21, Avenue Kléber",PARIS,,75016,FR
969500MBIWUWXQX3E885,BOREAL MIDCO,KLEBER,"21, Avenue Kléber",PARIS,,75016,FR
